"Step","coin4_cbam_baseline - SW_ep_rew_total","coin4_cbam_baseline - SW_ep_rew_total__MIN","coin4_cbam_baseline - SW_ep_rew_total__MAX"
"17152000","-5.2399998269975185","-5.2399998269975185","-5.2399998269975185"
"17216000","-7.45999938249588","-7.45999938249588","-7.45999938249588"
"17280000","-7.179999589920044","-7.179999589920044","-7.179999589920044"
"17344000","-5.01999968290329","-5.01999968290329","-5.01999968290329"
"17408000","-5.380000203847885","-5.380000203847885","-5.380000203847885"
"17472000","-6.270000338554382","-6.270000338554382","-6.270000338554382"
"17536000","-4.559999883174896","-4.559999883174896","-4.559999883174896"
"17600000","-5.960000038146973","-5.960000038146973","-5.960000038146973"
"17664000","-5.300000011920929","-5.300000011920929","-5.300000011920929"
"17728000","-6.779999867081642","-6.779999867081642","-6.779999867081642"
"17792000","-8.299999952316284","-8.299999952316284","-8.299999952316284"
"17856000","-5.900000333786011","-5.900000333786011","-5.900000333786011"
"17920000","-3.6000000834465027","-3.6000000834465027","-3.6000000834465027"
"17984000","-4.200000286102295","-4.200000286102295","-4.200000286102295"
"18048000","-6.179999798536301","-6.179999798536301","-6.179999798536301"
"18112000","-3.659999966621399","-3.659999966621399","-3.659999966621399"
"18176000","-5.400000274181366","-5.400000274181366","-5.400000274181366"
"18240000","-5.759999752044678","-5.759999752044678","-5.759999752044678"
"18304000","-5.780000239610672","-5.780000239610672","-5.780000239610672"
"18368000","-6.620000123977661","-6.620000123977661","-6.620000123977661"
"18432000","-4.059999972581863","-4.059999972581863","-4.059999972581863"
"18496000","-5.339999735355377","-5.339999735355377","-5.339999735355377"
"18560000","-6.7599998116493225","-6.7599998116493225","-6.7599998116493225"
"18624000","-4.420000001788139","-4.420000001788139","-4.420000001788139"
"18688000","-6.28000020980835","-6.28000020980835","-6.28000020980835"
"18752000","-6.379999903962016","-6.379999903962016","-6.379999903962016"
"18816000","-4.800000250339508","-4.800000250339508","-4.800000250339508"
"18880000","-6.360000133514404","-6.360000133514404","-6.360000133514404"
"18944000","-4.240000367164612","-4.240000367164612","-4.240000367164612"
"19008000","-3.360000491142273","-3.360000491142273","-3.360000491142273"
"19072000","-5.699999809265137","-5.699999809265137","-5.699999809265137"
"19136000","-5.080000042915344","-5.080000042915344","-5.080000042915344"
"19200000","-5.6600000858306885","-5.6600000858306885","-5.6600000858306885"
"19264000","-5.500000476837158","-5.500000476837158","-5.500000476837158"
"19328000","-4.939999938011169","-4.939999938011169","-4.939999938011169"
"19392000","-5.079999923706055","-5.079999923706055","-5.079999923706055"
